sample,prediction,p_left_raw,p_right_raw,name,score_total,mean_score,n_preds
6527,left_hand,0.5237072110176086,0.47629275918006897,ScorePonderado,-0.4113052189350128,0.0822898805141449,5
6591,left_hand,0.5315349102020264,0.46846508979797363,ScorePonderado,-0.42307478189468384,0.0846437931060791,5
6655,left_hand,0.7129493951797485,0.28705063462257385,ScorePonderado,-0.8490456342697144,0.16980912685394287,5
6719,left_hand,0.5969159603118896,0.40308403968811035,ScorePonderado,-0.911258339881897,0.1822516679763794,5
6783,left_hand,0.500406801700592,0.49959319829940796,ScorePonderado,-0.7310285568237305,0.14620571136474608,5
6847,left_hand,0.5519039630889893,0.44809600710868835,ScorePonderado,-0.7874220609664917,0.15748441219329834,5
6911,left_hand,0.4127565920352936,0.5872434377670288,ScorePonderado,-0.5498653948307037,0.17976781725883484,5
6975,right_hand,0.399008572101593,0.600991427898407,ScorePonderado,0.07801622152328491,0.1349846363067627,5
7039,right_hand,0.391377329826355,0.6086227297782898,ScorePonderado,0.489093542098999,0.1396673321723938,5
7103,right_hand,0.48351171612739563,0.5164883136749268,ScorePonderado,0.5228837430477142,0.1460999310016632,5
7167,right_hand,0.733624279499054,0.26637569069862366,ScorePonderado,0.15944311022758484,0.2187880575656891,5
7231,left_hand,0.6821593642234802,0.3178406059741974,ScorePonderado,-0.3793624937534332,0.2567544400691986,5
7295,left_hand,0.6305833458900452,0.36941665410995483,ScorePonderado,-0.8425120413303375,0.2685912072658539,5
7359,left_hand,0.9340923428535461,0.06590769439935684,ScorePonderado,-1.9279420897364616,0.3987790569663048,5
7423,left_hand,0.9208219647407532,0.07917798310518265,ScorePonderado,-2.8025626689195633,0.5605125337839126,5
7487,left_hand,0.9529182314872742,0.04708173871040344,ScorePonderado,-3.2411505728960037,0.6482301145792008,5
7551,left_hand,0.9459268450737,0.054073184728622437,ScorePonderado,-3.7686854749917984,0.7537370949983597,5
7615,left_hand,0.9623200297355652,0.03768002614378929,ScorePonderado,-4.432158786803484,0.8864317573606968,5
7679,left_hand,0.965893030166626,0.034106943756341934,ScorePonderado,-4.495760224759579,0.8991520449519157,5
7743,left_hand,0.9628855586051941,0.03711439296603203,ScorePonderado,-4.57988740876317,0.915977481752634,5
7807,left_hand,0.9705130457878113,0.029486950486898422,ScorePonderado,-4.615077011287212,0.9230154022574425,5
7871,left_hand,0.981847882270813,0.01815207488834858,ScorePonderado,-4.686919158324599,0.9373838316649199,5
7935,left_hand,0.9775180220603943,0.022481949999928474,ScorePonderado,-4.717315226793289,0.9434630453586579,5
7999,left_hand,0.966184139251709,0.03381587192416191,ScorePonderado,-4.717897407710552,0.9435794815421105,5
8063,left_hand,0.9393201470375061,0.060679834336042404,ScorePonderado,-4.670766554772854,0.9341533109545708,5
8127,left_hand,0.9349921941757202,0.06500780582427979,ScorePonderado,-4.599724847823381,0.9199449695646763,5
8191,left_hand,0.8386706113815308,0.16132935881614685,ScorePonderado,-4.313370293006301,0.8626740586012602,5
8255,left_hand,0.7568464279174805,0.24315360188484192,ScorePonderado,-3.8720270469784737,0.7744054093956947,5
8319,left_hand,0.7513028979301453,0.24869708716869354,ScorePonderado,-3.4422645904123783,0.6884529180824757,5
8383,left_hand,0.9148645401000977,0.08513545244932175,ScorePonderado,-3.3933533653616905,0.6786706730723381,5
8447,left_hand,0.8961097598075867,0.10389029234647751,ScorePonderado,-3.3155884444713593,0.6631176888942718,5
8511,left_hand,0.803312361240387,0.19668765366077423,ScorePonderado,-3.244871899485588,0.6489743798971176,5
8575,left_hand,0.7603732943534851,0.2396266758441925,ScorePonderado,-3.251925691962242,0.6503851383924484,5
8639,left_hand,0.7280142307281494,0.2719857394695282,ScorePonderado,-3.2053483724594116,0.6410696744918823,5
8703,left_hand,0.6319836974143982,0.3680162727832794,ScorePonderado,-2.6395867094397545,0.5279173418879509,5
8767,left_hand,0.5691859126091003,0.43081408739089966,ScorePonderado,-1.985739067196846,0.3971478134393692,5
