prediction,sample,delay
left_hand,14655,0.09858170000006794
left_hand,14655,0.23942670000087674
left_hand,14719,0.132735700000012
left_hand,14719,0.27272760000050766
left_hand,14783,0.17819189999954688
left_hand,14847,0.09219129999928555
left_hand,14847,0.22626229999968928
left_hand,14911,0.11674110000058135
left_hand,14911,0.2713872000003903
left_hand,14975,0.16235190000043076
left_hand,15039,0.05458479999924748
left_hand,15039,0.19412990000000718
left_hand,15103,0.10191159999976662
right_hand,15103,0.258080699999482
left_hand,15167,0.13523520000035205
left_hand,15231,0.03952040000058332
left_hand,15231,0.19404470000063156
left_hand,15295,0.086902299999565
left_hand,15295,0.24093679999987216
left_hand,15359,0.11694530000022496
right_hand,15359,0.27445430000079796
right_hand,15423,0.16449029999967024
left_hand,15487,0.07124079999994137
right_hand,15487,0.2264845999998215
right_hand,15551,0.10086490000048798
right_hand,15551,0.25866920000044047
left_hand,15615,0.14798770000015793
left_hand,15679,0.056000200000198674
right_hand,15679,0.20691600000009203
left_hand,15743,0.08634149999943475
left_hand,15743,0.24384439999994356
left_hand,15807,0.13229649999993853
left_hand,15807,0.2849704999998721
right_hand,15871,0.17887619999964954
left_hand,15935,0.07007939999948576
left_hand,15935,0.22936549999940326
left_hand,15999,0.11801370000011957
left_hand,15999,0.2605900999997175
left_hand,16063,0.16283580000072106
left_hand,16127,0.05477140000039071
left_hand,16127,0.2123568000006344
left_hand,16191,0.10164830000030634
right_hand,16191,0.24425330000030954
left_hand,16255,0.15312839999933203
left_hand,16319,0.03847940000014205
left_hand,16319,0.19520830000055867
left_hand,16383,0.06987459999982093
left_hand,16383,0.22848619999967923
left_hand,16447,0.12093389999972715
right_hand,16447,0.2749569999996311
left_hand,16511,0.1788144000001921
left_hand,16575,0.05373830000007729
left_hand,16575,0.2112732000005053
left_hand,16639,0.1004201000005196
left_hand,16639,0.2589746000003288
left_hand,16703,0.15471660000002885
left_hand,16767,0.037804200000209676
right_hand,16767,0.19743259999995644
right_hand,16831,0.08785370000077819
right_hand,16831,0.24354110000058427
left_hand,16895,0.1330798999997569
left_hand,16895,0.2729688999997961
left_hand,16959,0.18028599999979633
left_hand,17023,0.07092350000039005
left_hand,17023,0.22826310000073136
left_hand,17087,0.11796859999958542
right_hand,17087,0.2576326999997036
left_hand,17151,0.16527769999993325
left_hand,17215,0.05187310000019352
left_hand,17215,0.1917487999999139
left_hand,17279,0.10022980000030657
left_hand,17279,0.2403775000002497
left_hand,17343,0.1459340000001248
left_hand,17407,0.03958130000046367
left_hand,17407,0.17872150000039255
left_hand,17471,0.08724330000040936
left_hand,17471,0.22683950000009645
right_hand,17535,0.12086610000005749
right_hand,17535,0.27147300000069663
right_hand,17599,0.1638532999995732
left_hand,17663,0.07128949999969336
left_hand,17663,0.2119182999995246
right_hand,17727,0.09928770000078657
right_hand,17727,0.26166340000054333
left_hand,17791,0.14811439999994036
right_hand,17855,0.04031289999966248
left_hand,17855,0.18103809999956866
right_hand,17919,0.08718500000031781
right_hand,17919,0.24153430000023945
right_hand,17983,0.13102170000001934
right_hand,17983,0.2903384000001097
left_hand,18047,0.1625939000005019
right_hand,18111,0.07148360000064713
left_hand,18111,0.21104580000064743
right_hand,18175,0.117646099999547
left_hand,18175,0.2759686999997939
left_hand,18239,0.1492247000005591
left_hand,18303,0.037603899999339774
right_hand,18303,0.1945317999998224
right_hand,18367,0.10567620000074385
right_hand,18367,0.2389065000006667
left_hand,18431,0.14932320000025356
left_hand,18431,0.2886079999998401
right_hand,18495,0.18014959999982239
right_hand,18559,0.08626290000029257
left_hand,18559,0.223572900000363
right_hand,18623,0.1161219000005076
left_hand,18623,0.25913910000053875
left_hand,18687,0.16346539999995002
right_hand,18751,0.07532629999968776
left_hand,18751,0.21222099999977218
left_hand,18815,0.10132940000039525
right_hand,18815,0.24280710000039107
left_hand,18879,0.14902990000064165
left_hand,18943,0.03796720000082132
