sample,prediction,p_left_raw,p_right_raw,name ,integrator,threshold
19391,left_hand,0.8462094664573669,0.15379050374031067,IntegradorFuga,-4.22949761711061,1.0
19455,left_hand,0.765258252620697,0.2347416877746582,IntegradorFuga,-3.80394059792161,1.0
19519,left_hand,0.7137774229049683,0.28622257709503174,IntegradorFuga,-3.2992838323116302,1.0
19583,left_hand,0.547354519367218,0.4526454508304596,IntegradorFuga,-2.5181089639663696,1.0
19647,left_hand,0.8797473907470703,0.1202525869011879,IntegradorFuga,-2.5046942457556725,1.0
19711,left_hand,0.8766666054725647,0.12333343178033829,IntegradorFuga,-2.5656084567308426,1.0
19775,left_hand,0.8860835433006287,0.11391641199588776,IntegradorFuga,-2.8072590231895447,1.0
19839,left_hand,0.8971048593521118,0.10289513319730759,IntegradorFuga,-3.1739139035344124,1.0
19903,left_hand,0.9090176820755005,0.09098229557275772,IntegradorFuga,-3.8972402215003967,1.0
19967,left_hand,0.9414870142936707,0.058512989431619644,IntegradorFuga,-4.020719442516565,1.0
20031,left_hand,0.9219257831573486,0.07807426899671555,IntegradorFuga,-4.111237782984972,1.0
20095,left_hand,0.9695357084274292,0.030464356765151024,IntegradorFuga,-4.278142003342509,1.0
20159,left_hand,0.9882825016975403,0.011717456392943859,IntegradorFuga,-4.4604973224923015,1.0
20223,left_hand,0.9860240817070007,0.013975868932902813,IntegradorFuga,-4.614510148763657,1.0
20287,left_hand,0.9747890830039978,0.02521088905632496,IntegradorFuga,-4.6811143178492785,1.0
20351,left_hand,0.9512106776237488,0.0487893745303154,IntegradorFuga,-4.739684106782079,1.0
20415,left_hand,0.8224955201148987,0.1775044947862625,IntegradorFuga,-4.445603780448437,1.0
20479,left_hand,0.7930202484130859,0.20697978138923645,IntegradorFuga,-4.05507920216769,1.0
20543,left_hand,0.6634150147438049,0.3365849554538727,IntegradorFuga,-3.409861048683524,1.0
20607,left_hand,0.6245388984680176,0.37546104192733765,IntegradorFuga,-2.709360711276531,1.0
20671,left_hand,0.6654620170593262,0.33453798294067383,IntegradorFuga,-2.13786344230175,1.0
20735,left_hand,0.577037513256073,0.4229625165462494,IntegradorFuga,-1.6469474136829376,1.0
20799,left_hand,0.5848672986030579,0.4151327311992645,IntegradorFuga,-1.2306415140628815,1.0
20863,,0.34201356768608093,0.6579864025115967,IntegradorFuga,-0.5878386199474335,1.0
20927,,0.3571746349334717,0.6428253650665283,IntegradorFuga,-0.5409486532211303,1.0
20991,,0.22256319224834442,0.7774367928504944,IntegradorFuga,0.3917389482259751,1.0
21055,right_hand,0.11447329819202423,0.885526716709137,IntegradorFuga,2.049554964900017,1.0
21119,right_hand,0.06568204611539841,0.9343178868293762,IntegradorFuga,2.796186424791813,1.0
21183,right_hand,0.06474591046571732,0.9352540969848633,IntegradorFuga,3.350721776485443,1.0
21247,right_hand,0.14541688561439514,0.8545830845832825,IntegradorFuga,3.774237245321274,1.0
21311,right_hand,0.3685314655303955,0.6314685940742493,IntegradorFuga,3.4823007732629776,1.0
21375,right_hand,0.5597057342529297,0.4402942657470703,IntegradorFuga,2.5918358862400055,1.0
21439,right_hand,0.6421629786491394,0.3578369915485382,IntegradorFuga,1.4388740584254265,1.0
21503,,0.7871943712234497,0.2128056436777115,IntegradorFuga,-0.006022855639457703,1.0
21567,left_hand,0.6874127388000488,0.3125872313976288,IntegradorFuga,-1.090014562010765,1.0
21631,left_hand,0.6924210786819458,0.3075789511203766,IntegradorFuga,-1.737793818116188,1.0
21695,left_hand,0.707362711429596,0.29263731837272644,IntegradorFuga,-2.033107742667198,1.0
21759,left_hand,0.7161334753036499,0.2838664948940277,IntegradorFuga,-2.181048735976219,1.0
21823,left_hand,0.7808642983436584,0.21913568675518036,IntegradorFuga,-2.168388620018959,1.0
21887,left_hand,0.8175606727600098,0.182439386844635,IntegradorFuga,-2.4286843985319138,1.0
21951,left_hand,0.8505521416664124,0.14944787323474884,IntegradorFuga,-2.744946539402008,1.0
22015,left_hand,0.9133437275886536,0.08665629476308823,IntegradorFuga,-3.156908579170704,1.0
22079,left_hand,0.9616926312446594,0.03830742835998535,IntegradorFuga,-3.6480268016457558,1.0
22143,left_hand,0.978367805480957,0.021632220596075058,IntegradorFuga,-4.04303377494216,1.0
22207,left_hand,0.9748942255973816,0.02510572038590908,IntegradorFuga,-4.357700994238257,1.0
22271,left_hand,0.9459987282752991,0.054001227021217346,IntegradorFuga,-4.548594227060676,1.0
22335,left_hand,0.8873395323753357,0.11266043037176132,IntegradorFuga,-4.496585896238685,1.0
22399,left_hand,0.8324437141418457,0.16755622625350952,IntegradorFuga,-4.238088181242347,1.0
22463,left_hand,0.8000763654708862,0.19992364943027496,IntegradorFuga,-3.881505312398076,1.0
22527,left_hand,0.9104700088500977,0.08952997624874115,IntegradorFuga,-3.75265683978796,1.0
22591,left_hand,0.9614930748939514,0.03850695490837097,IntegradorFuga,-3.7836454585194588,1.0
22655,left_hand,0.9559317827224731,0.044068239629268646,IntegradorFuga,-3.920829899609089,1.0
22719,left_hand,0.9589526653289795,0.041047368198633194,IntegradorFuga,-4.173847708851099,1.0
