sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
14207,left_hand,0.9135146737098694,0.0864853709936142,MediaProbabilidades,0.7594982147216797,0.24050178825855256,5
14271,left_hand,0.9339516758918762,0.06604831665754318,MediaProbabilidades,0.8305780291557312,0.16942196637392043,5
14335,left_hand,0.8965192437171936,0.1034807488322258,MediaProbabilidades,0.8617624282836914,0.1382375717163086,5
14399,left_hand,0.8941536545753479,0.1058463379740715,MediaProbabilidades,0.8881317615509033,0.11186823099851609,5
14463,left_hand,0.9112226366996765,0.08877739310264587,MediaProbabilidades,0.9098723769187927,0.0901276335120201,5
14527,left_hand,0.9017525315284729,0.09824741631746292,MediaProbabilidades,0.9075199484825134,0.09248004257678985,5
14591,left_hand,0.9168931841850281,0.0831068605184555,MediaProbabilidades,0.9041082501411438,0.09589175134897232,5
14655,left_hand,0.904115617275238,0.09588439762592316,MediaProbabilidades,0.9056275248527527,0.09437248110771179,5
14719,left_hand,0.8340529799461365,0.1659470498561859,MediaProbabilidades,0.8936073899269104,0.10639262348413467,5
14783,left_hand,0.8803865909576416,0.11961334943771362,MediaProbabilidades,0.8874401807785034,0.11255981475114822,5
14847,left_hand,0.9083717465400696,0.09162823110818863,MediaProbabilidades,0.8887640237808228,0.11123597770929336,5
14911,left_hand,0.8623479008674622,0.13765206933021545,MediaProbabilidades,0.8778549671173096,0.12214501947164536,5
14975,left_hand,0.7961951494216919,0.2038048356771469,MediaProbabilidades,0.8562708735466004,0.1437291070818901,5
15039,left_hand,0.7086701393127441,0.2913298010826111,MediaProbabilidades,0.8311943054199219,0.16880565732717515,5
15103,left_hand,0.47634539008140564,0.5236546397209167,MediaProbabilidades,0.7503860652446747,0.24961391538381578,5
15167,left_hand,0.35244181752204895,0.6475581526756287,MediaProbabilidades,0.6392000794410706,0.36079989969730375,5
15231,right_hand,0.06005251035094261,0.9399474263191223,MediaProbabilidades,0.47874100133776665,0.5212589710950851,5
15295,right_hand,0.0528385303914547,0.9471614956855774,MediaProbabilidades,0.33006967753171923,0.6699303030967713,5
15359,right_hand,0.04973987117409706,0.9502601623535156,MediaProbabilidades,0.1982836239039898,0.8017163753509522,5
15423,right_hand,0.054860811680555344,0.9451391696929932,MediaProbabilidades,0.11398670822381973,0.8860132813453674,5
15487,right_hand,0.0384707897901535,0.9615292549133301,MediaProbabilidades,0.051192502677440646,0.9488075017929077,5
15551,right_hand,0.06445902585983276,0.935541033744812,MediaProbabilidades,0.052073805779218676,0.9479262232780457,5
15615,right_hand,0.15085290372371674,0.8491471409797668,MediaProbabilidades,0.07167668044567108,0.9283233523368836,5
15679,right_hand,0.2814926207065582,0.7185073494911194,MediaProbabilidades,0.11802723035216331,0.8819727897644043,5
15743,right_hand,0.2857000231742859,0.7143000364303589,MediaProbabilidades,0.16419507265090943,0.8358049631118775,5
15807,right_hand,0.19503530859947205,0.8049647212028503,MediaProbabilidades,0.19550797641277312,0.8044920563697815,5
15871,right_hand,0.19244781136512756,0.80755215883255,MediaProbabilidades,0.2211057335138321,0.7788942813873291,5
15935,right_hand,0.362199604511261,0.637800395488739,MediaProbabilidades,0.26337507367134094,0.7366249322891235,5
15999,right_hand,0.39147740602493286,0.6085225939750671,MediaProbabilidades,0.2853720307350159,0.7146279811859131,5
16063,right_hand,0.3514727056026459,0.6485272645950317,MediaProbabilidades,0.2985265672206879,0.7014734268188476,5
16127,right_hand,0.40849193930625916,0.5915080904960632,MediaProbabilidades,0.3412178933620453,0.6587821006774902,5
16191,right_hand,0.46734046936035156,0.5326595306396484,MediaProbabilidades,0.3961964249610901,0.6038035750389099,5
16255,right_hand,0.5632147789001465,0.43678519129753113,MediaProbabilidades,0.4363994598388672,0.5636005342006684,5
16319,right_hand,0.5843148827552795,0.41568514704704285,MediaProbabilidades,0.47496695518493653,0.5250330448150635,5
16383,left_hand,0.6268582940101624,0.37314173579216003,MediaProbabilidades,0.5300440728664398,0.4699559390544891,5
16447,left_hand,0.6110691428184509,0.3889308571815491,MediaProbabilidades,0.5705595135688781,0.4294404923915863,5
16511,left_hand,0.5457265973091125,0.45427337288856506,MediaProbabilidades,0.5862367391586304,0.4137632608413696,5
16575,left_hand,0.503101110458374,0.496898889541626,MediaProbabilidades,0.5742140054702759,0.4257860004901886,5
16639,left_hand,0.5438923835754395,0.45610764622688293,MediaProbabilidades,0.5661295056343079,0.4338705003261566,5
16703,left_hand,0.5605500340461731,0.43944990634918213,MediaProbabilidades,0.55286785364151,0.44713213443756106,5
16767,left_hand,0.5708408355712891,0.42915916442871094,MediaProbabilidades,0.5448221921920776,0.4551777958869934,5
16831,left_hand,0.45590266585350037,0.5440973043441772,MediaProbabilidades,0.5268574059009552,0.47314258217811583,5
16895,right_hand,0.36799880862236023,0.6320011615753174,MediaProbabilidades,0.49983694553375246,0.5001630365848542,5
16959,right_hand,0.4606132209300995,0.5393868088722229,MediaProbabilidades,0.48318111300468447,0.5168188691139222,5
17023,right_hand,0.555126965045929,0.44487300515174866,MediaProbabilidades,0.4820964992046356,0.5179034888744354,5
17087,left_hand,0.7577234506607056,0.24227654933929443,MediaProbabilidades,0.5194730222225189,0.48052696585655214,5
17151,left_hand,0.7616623044013977,0.2383376806974411,MediaProbabilidades,0.5806249499320983,0.4193750411272049,5
17215,left_hand,0.6489173769950867,0.3510826826095581,MediaProbabilidades,0.6368086636066437,0.36319134533405306,5
17279,left_hand,0.6221890449523926,0.37781089544296265,MediaProbabilidades,0.6691238284111023,0.33087616264820097,5
17343,left_hand,0.5668345093727112,0.43316546082496643,MediaProbabilidades,0.6714653372764587,0.3285346537828445,5
17407,left_hand,0.3077125549316406,0.6922875046730042,MediaProbabilidades,0.5814631581306458,0.4185368448495865,5
17471,right_hand,0.15021847188472748,0.8497815132141113,MediaProbabilidades,0.4591743916273117,0.5408256113529205,5
17535,right_hand,0.12878787517547607,0.8712121248245239,MediaProbabilidades,0.3551484912633896,0.6448514997959137,5
17599,right_hand,0.29483431577682495,0.705165684223175,MediaProbabilidades,0.28967754542827606,0.7103224575519562,5
17663,right_hand,0.26679086685180664,0.7332091331481934,MediaProbabilidades,0.22966881692409516,0.7703311920166016,5
17727,right_hand,0.2720097005367279,0.7279902696609497,MediaProbabilidades,0.22252824604511262,0.7774717450141907,5
17791,right_hand,0.5870130658149719,0.41298696398735046,MediaProbabilidades,0.3098871648311615,0.6901128351688385,5
17855,right_hand,0.6724277138710022,0.3275723159313202,MediaProbabilidades,0.4186151325702667,0.5813848733901977,5
17919,right_hand,0.6299405097961426,0.3700595200061798,MediaProbabilidades,0.48563637137413024,0.5143636405467987,5
17983,left_hand,0.7528640031814575,0.24713601171970367,MediaProbabilidades,0.5828509986400604,0.4171490162611008,5
18047,left_hand,0.6928314566612244,0.30716848373413086,MediaProbabilidades,0.6670153498649597,0.332984659075737,5
18111,left_hand,0.7198262810707092,0.28017374873161316,MediaProbabilidades,0.6935779929161072,0.3064220160245895,5
18175,left_hand,0.7118423581123352,0.28815770149230957,MediaProbabilidades,0.7014609217643738,0.2985390931367874,5
