time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444258.71572082967,177070.953125,178610.515625,176162.359375,202602.734375,180490.671875,198372.890625,175379.359375,171527.5625,177624.390625,178710.5625,193916.703125,186232.609375,188284.90625,206421.390625,209730.671875,189640.421875,9.867450714111328,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.71972183546,177066.765625,178631.125,176150.796875,202627.40625,180478.40625,198400.953125,175378.6875,171515.4375,177611.453125,178719.28125,193946.34375,186245.15625,188310.453125,206449.0625,209759.265625,189666.375,9.867450714111328,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.7237228412,177066.203125,178634.3125,176156.859375,202635.5625,180486.484375,198412.890625,175375.703125,171522.265625,177620.234375,178727.921875,193958.109375,186248.53125,188319.875,206460.0625,209769.96875,189675.859375,9.867450714111328,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.7277238468,177069.984375,178615.4375,176172.21875,202615.171875,180504.59375,198391.640625,175373.15625,171538.296875,177638.4375,178724.90625,193934.9375,186237.609375,188300.0625,206439.4375,209748.109375,189656.015625,9.867450714111328,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.73172485235,177073.171875,178601.15625,176177.015625,202594.5625,180508.28125,198367.0625,175376.46875,171543.828125,177642.765625,178714.578125,193909.359375,186227.890625,188279.109375,206417.234375,209724.9375,189635.1875,9.867450714111328,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.7357258579,177070.828125,178610.75,176163.203125,202601.0,180490.8125,198372.125,175379.484375,171528.578125,177624.90625,178709.3125,193915.53125,186231.5,188285.40625,206424.25,209732.046875,189641.734375,9.905696868896484,0.15298375487327576,0.0,1.0,51.0
444258.73972686334,177065.96875,178630.03125,176149.859375,202624.03125,180476.453125,198398.40625,175377.109375,171513.3125,177609.609375,178715.828125,193943.296875,186242.140625,188309.109375,206450.828125,209759.109375,189665.96875,9.905696868896484,0.15298375487327576,0.0,1.0,51.0
444258.74372786866,177065.796875,178634.453125,176157.125,202633.65625,180486.375,198411.546875,175375.359375,171521.4375,177619.84375,178726.75,193956.0,186246.09375,188319.578125,206463.671875,209771.78125,189676.328125,9.905696868896484,0.15298375487327576,0.0,1.0,51.0
444258.747728874,177069.453125,178615.8125,176173.21875,202613.5625,180503.046875,198390.5625,175374.828125,171539.40625,177639.15625,178724.265625,193932.828125,186234.1875,188299.71875,206443.453125,209750.71875,189655.40625,9.905696868896484,0.15298375487327576,0.0,1.0,51.0
444258.75172987924,177072.03125,178599.78125,176176.34375,202591.578125,180505.390625,198364.3125,175376.9375,171542.71875,177641.234375,178712.90625,193905.234375,186222.015625,188277.390625,206418.75,209725.984375,189632.28125,9.905696868896484,0.15298375487327576,0.0,1.0,51.0
