sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
7836,right_hand,0.015313521027565002,0.9846864938735962,ExponentialSmoothing,0.00362456219590844,0.996375436171189,0.85,0.75
7886,right_hand,0.0309890303760767,0.9690110087394714,ExponentialSmoothing,0.00772923242293368,0.9922707720564313,0.85,0.75
7911,right_hand,0.025741035118699074,0.9742588996887207,ExponentialSmoothing,0.01043100282729849,0.9895689912012747,0.85,0.75
7961,right_hand,0.019006090238690376,0.9809938669204712,ExponentialSmoothing,0.011717265939007272,0.9882827225591542,0.85,0.75
7986,right_hand,0.012279960326850414,0.9877200722694397,ExponentialSmoothing,0.011801670097183744,0.9881983250156969,0.85,0.75
8036,right_hand,0.0177144892513752,0.9822854995727539,ExponentialSmoothing,0.012688592970312463,0.9873114011992555,0.85,0.75
8061,right_hand,0.014409196563065052,0.9855908155441284,ExponentialSmoothing,0.012946683509225352,0.9870533133509864,0.85,0.75
8086,right_hand,0.021852141246199608,0.9781478643417358,ExponentialSmoothing,0.014282502169771491,0.9857174959995989,0.85,0.75
8136,right_hand,0.12213504314422607,0.8778649568557739,ExponentialSmoothing,0.030460383315939678,0.9695396151280251,0.85,0.75
8161,right_hand,0.3454555869102478,0.6545444130897522,ExponentialSmoothing,0.0777096638550859,0.9222903348222842,0.85,0.75
8211,right_hand,0.8292183876037598,0.17078164219856262,ExponentialSmoothing,0.19043597241738702,0.8095640309287259,0.85,0.75
8261,rest,0.9288284182548523,0.07117162644863129,ExponentialSmoothing,0.30119483929300683,0.6988051702567116,0.85,0.75
8286,rest,0.8849222660064697,0.11507775634527206,ExponentialSmoothing,0.38875395330002627,0.6112460581699957,0.85,0.75
8336,rest,0.9335225224494934,0.06647754460573196,ExponentialSmoothing,0.4704692386724464,0.5295307811353561,0.85,0.75
8361,rest,0.9594981074333191,0.04050184413790703,ExponentialSmoothing,0.5438235689865774,0.45617644058573875,0.85,0.75
