prediction,sample,delay
right_hand,19967,0.23092059999999037
right_hand,20031,0.12307520000013028
right_hand,20031,0.26026809999984835
right_hand,20095,0.16401409999980388
right_hand,20159,0.052126899999620946
right_hand,20159,0.20328559999961726
right_hand,20223,0.09320530000013605
right_hand,20223,0.2517552999997861
right_hand,20287,0.14339979999977004
right_hand,20287,0.28221609999991415
right_hand,20351,0.18539869999995062
right_hand,20415,0.08316139999988081
right_hand,20415,0.22930559999986144
right_hand,20479,0.12523510000028182
right_hand,20479,0.2784347000001617
left_hand,20543,0.17648220000000947
left_hand,20607,0.06242610000026616
left_hand,20607,0.21728740000025937
left_hand,20671,0.0920162999996137
left_hand,20671,0.25732109999989916
left_hand,20735,0.15747129999999743
left_hand,20735,0.29658229999995456
left_hand,20799,0.18745869999975184
left_hand,20863,0.09556359999987762
left_hand,20863,0.24087089999966338
left_hand,20927,0.152885100000276
left_hand,20927,0.2984924000002138
left_hand,20991,0.2014352000001054
left_hand,21055,0.08095379999986108
left_hand,21055,0.22159549999969386
left_hand,21119,0.10438600000043152
left_hand,21119,0.25203160000000935
left_hand,21183,0.1494250999999167
left_hand,21247,0.0401889999998275
left_hand,21247,0.19821309999997538
left_hand,21311,0.09302320000006148
left_hand,21311,0.2494630999999572
left_hand,21375,0.11853169999994861
left_hand,21375,0.27547450000020035
left_hand,21439,0.18767699999989418
left_hand,21503,0.08107499999960055
left_hand,21503,0.2597486999998182
left_hand,21567,0.10900480000009338
left_hand,21567,0.2619430999998258
left_hand,21631,0.16741910000018834
left_hand,21695,0.04295369999999821
left_hand,21695,0.19939320000003136
left_hand,21759,0.10351429999991524
left_hand,21759,0.24422690000028524
right_hand,21823,0.13569409999990967
right_hand,21887,0.045597799999995914
right_hand,21887,0.18292410000003656
right_hand,21951,0.07459470000003421
right_hand,21951,0.22869549999995797
right_hand,22015,0.12362200000006851
right_hand,22015,0.28066309999985606
right_hand,22079,0.15462750000006054
right_hand,22143,0.0593578000002708
right_hand,22143,0.21540390000018306
left_hand,22207,0.11666620000005423
left_hand,22207,0.25765039999987494
left_hand,22271,0.15136970000003203
left_hand,22335,0.044013600000198494
left_hand,22335,0.18581119999998919
left_hand,22399,0.09101760000021386
left_hand,22399,0.2509807000001274
left_hand,22463,0.13264559999970515
left_hand,22463,0.2808614000000489
left_hand,22527,0.17423299999973096
left_hand,22591,0.08427269999992859
left_hand,22591,0.23923830000012458
left_hand,22655,0.10549010000022463
left_hand,22655,0.26258270000016637
left_hand,22719,0.1522979999999734
left_hand,22783,0.04619309999998222
left_hand,22783,0.2028429000001779
left_hand,22847,0.09457669999983409
left_hand,22847,0.24494800000002215
left_hand,22911,0.13509789999989152
left_hand,22911,0.29468279999991864
left_hand,22975,0.18670050000037008
left_hand,23039,0.07430499999964013
left_hand,23039,0.23196099999995567
left_hand,23103,0.12247500000012224
left_hand,23103,0.27911279999989347
left_hand,23167,0.1660428000000138
left_hand,23231,0.06103590000020631
left_hand,23231,0.21788229999992836
left_hand,23295,0.11339529999986553
left_hand,23295,0.24739929999986998
left_hand,23359,0.15719209999997474
left_hand,23359,0.3049377000002096
left_hand,23423,0.18051409999998214
left_hand,23487,0.10245070000019041
left_hand,23487,0.23726250000026994
right_hand,23551,0.12614170000006197
right_hand,23551,0.27718170000025566
left_hand,23615,0.16921039999988352
left_hand,23679,0.06719049999992421
left_hand,23679,0.21924130000024888
left_hand,23743,0.11345150000033755
left_hand,23743,0.2604063000003407
left_hand,23807,0.17279259999986607
right_hand,23871,0.0480824000001121
right_hand,23871,0.199941299999864
right_hand,23935,0.11724480000020776
right_hand,23935,0.2487611999999899
right_hand,23999,0.1502583000001323
right_hand,24063,0.04267329999993308
right_hand,24063,0.1821882999997797
left_hand,24127,0.07358359999989261
left_hand,24127,0.2307303000002321
left_hand,24191,0.1197133999999096
left_hand,24191,0.2717702999998437
left_hand,24255,0.1704116000000795
left_hand,24319,0.05918339999971067
left_hand,24319,0.19817459999967468
left_hand,24383,0.10396470000023328
left_hand,24383,0.24492880000025252
left_hand,24447,0.1372283000000607
left_hand,24511,0.04152810000005047
left_hand,24511,0.18210020000014993
left_hand,24575,0.09311879999995654
left_hand,24575,0.2527273000000605
left_hand,24639,0.13148739999996906
left_hand,24639,0.28398429999970176
left_hand,24703,0.17028609999988475
left_hand,24767,0.06518559999994977
left_hand,24767,0.21323089999987133
left_hand,24831,0.10630369999989853
left_hand,24831,0.2636336999999003
left_hand,24895,0.15360420000024533
left_hand,24959,0.04340670000010505
left_hand,24959,0.19734860000016852
left_hand,25023,0.10440340000013748
left_hand,25023,0.24516640000001644
left_hand,25087,0.13601209999978892
left_hand,25151,0.040582699999959004
left_hand,25151,0.18393079999987094
left_hand,25215,0.07401549999985946
left_hand,25215,0.21301149999999325
left_hand,25279,0.12000719999969078
left_hand,25279,0.26732869999977993
left_hand,25343,0.1657838000000993
left_hand,25407,0.06125350000002072
left_hand,25407,0.20409239999980855
left_hand,25471,0.10958490000029997
left_hand,25471,0.2629530000003797
left_hand,25535,0.13597290000006979
left_hand,25599,0.04608280000002196
left_hand,25599,0.18367880000005243
left_hand,25663,0.08102109999981622
left_hand,25663,0.22902530000010302
left_hand,25727,0.13997109999991153
left_hand,25727,0.27196679999997286
left_hand,25791,0.17934379999996963
left_hand,25855,0.05940679999957865
left_hand,25855,0.21593189999975948
left_hand,25919,0.10289489999968282
left_hand,25919,0.2675390999997944
left_hand,25983,0.1515743999998449
left_hand,26047,0.04855670000006285
left_hand,26047,0.20036879999997836
left_hand,26111,0.09306430000015098
left_hand,26111,0.2375648000002002
left_hand,26175,0.13439970000035828
left_hand,26175,0.27747210000006817
left_hand,26239,0.17301279999992403
left_hand,26303,0.07526290000032532
left_hand,26303,0.2156912000000375
left_hand,26367,0.12540420000004815
left_hand,26367,0.26527390000001105
left_hand,26431,0.15775330000042231
left_hand,26495,0.042603500000041095
left_hand,26495,0.2024304999999913
left_hand,26559,0.11428290000003472
left_hand,26559,0.24670949999972436
left_hand,26623,0.13660289999961606
left_hand,26623,0.2814741999995931
left_hand,26687,0.1837531000001036
left_hand,26751,0.09023860000024797
left_hand,26751,0.23232550000011543
left_hand,26815,0.12225570000009611
left_hand,26815,0.2610875999998825
left_hand,26879,0.1652390999997806
left_hand,26943,0.06139889999985826
left_hand,26943,0.20497720000003028
left_hand,27007,0.10327430000006643
left_hand,27007,0.24662769999986267
left_hand,27071,0.1628482000000986
left_hand,27135,0.04342369999994844
left_hand,27135,0.1975680000000466
left_hand,27199,0.09687729999996009
left_hand,27199,0.2703639999999723
left_hand,27263,0.12379170000031081
left_hand,27263,0.28948810000019876
