sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
19779,right_hand,0.0051179807633161545,0.9948819875717163,ExponentialSmoothing,0.03416091594164478,0.9658390776827142,0.85,0.75
19829,right_hand,0.002766769379377365,0.9972332119941711,ExponentialSmoothing,0.029451793957304667,0.9705481978294327,0.85,0.75
19854,right_hand,0.0027108234353363514,0.9972891807556152,ExponentialSmoothing,0.02544064837900942,0.9745593452683601,0.85,0.75
19879,right_hand,0.0033623387571424246,0.9966377019882202,ExponentialSmoothing,0.022128901935729372,0.9778710987763392,0.85,0.75
19929,right_hand,0.001076621818356216,0.9989233613014221,ExponentialSmoothing,0.0189710599181234,0.9810289381551016,0.85,0.75
19979,right_hand,0.0006035160622559488,0.9993964433670044,ExponentialSmoothing,0.016215928339743283,0.983784063936887,0.85,0.75
20004,right_hand,0.00039987466880120337,0.9996001124382019,ExponentialSmoothing,0.013843520289101971,0.9861564712120843,0.85,0.75
20029,right_hand,0.0004388974339235574,0.9995611310005188,ExponentialSmoothing,0.011832826860825207,0.9881671701803494,0.85,0.75
20079,right_hand,0.0006323285051621497,0.9993676543235779,ExponentialSmoothing,0.010152752107475748,0.9898472428018337,0.85,0.75
20129,right_hand,0.0007236276287585497,0.999276340007782,ExponentialSmoothing,0.008738383435668167,0.991261607382726,0.85,0.75
20154,right_hand,0.000562879431527108,0.999437153339386,ExponentialSmoothing,0.007512057835047008,0.9924879392762249,0.85,0.75
20204,right_hand,0.00026821650681085885,0.999731719493866,ExponentialSmoothing,0.006425481635811585,0.993574506308871,0.85,0.75
20229,right_hand,0.00014690536772832274,0.9998530149459839,ExponentialSmoothing,0.005483695195599095,0.9945162826044379,0.85,0.75
20279,right_hand,0.00014838417700957507,0.9998515844345093,ExponentialSmoothing,0.004683398542810667,0.9953165778789487,0.85,0.75
20304,right_hand,0.00011854016338475049,0.999881386756897,ExponentialSmoothing,0.00399866978589678,0.996001299210641,0.85,0.75
20329,right_hand,0.00014160039427224547,0.9998583793640137,ExponentialSmoothing,0.0034201093771530997,0.9965798612336468,0.85,0.75
20379,right_hand,0.00015358082600869238,0.999846339225769,ExponentialSmoothing,0.0029301300944814383,0.9970698329324652,0.85,0.75
20404,right_hand,0.00017268430383410305,0.9998273253440857,ExponentialSmoothing,0.002516513225884338,0.9974834567942084,0.85,0.75
20454,right_hand,0.00011279276077402756,0.999887228012085,ExponentialSmoothing,0.0021559551561177916,0.9978440224768899,0.85,0.75
20504,right_hand,0.000103708342066966,0.9998962879180908,ExponentialSmoothing,0.0018481181340101677,0.99815186229307,0.85,0.75
20529,right_hand,0.00010859971371246502,0.9998914003372192,ExponentialSmoothing,0.0015871903709655123,0.9984127929996924,0.85,0.75
20579,right_hand,0.00013102605589665473,0.9998689889907837,ExponentialSmoothing,0.0013687657237051835,0.9986312223983562,0.85,0.75
20604,right_hand,8.993590745376423e-05,0.9999099969863892,ExponentialSmoothing,0.0011769412512674707,0.9988230385865612,0.85,0.75
20654,right_hand,4.421090488904156e-05,0.9999557733535767,ExponentialSmoothing,0.0010070316993107062,0.9989929488016136,0.85,0.75
20679,right_hand,3.103732524323277e-05,0.9999690055847168,ExponentialSmoothing,0.0008606325432005852,0.9991393573190791,0.85,0.75
20729,right_hand,3.778969039558433e-05,0.9999622106552124,ExponentialSmoothing,0.0007372061152798351,0.9992627853194991,0.85,0.75
20754,right_hand,4.527957571553998e-05,0.9999547004699707,ExponentialSmoothing,0.0006334171343451907,0.9993665725920698,0.85,0.75
20804,right_hand,6.899413710925728e-05,0.9999309778213501,ExponentialSmoothing,0.0005487536847598006,0.9994512333764618,0.85,0.75
20829,right_hand,0.00011049647582694888,0.9998894929885864,ExponentialSmoothing,0.00048301510341987287,0.9995169723182805,0.85,0.75
20879,right_hand,0.00031034767744131386,0.9996896982192993,ExponentialSmoothing,0.000457114989523089,0.9995428812034333,0.85,0.75
20904,right_hand,0.0004738495626952499,0.9995261430740356,ExponentialSmoothing,0.00045962517549891316,0.9995403704840237,0.85,0.75
20954,right_hand,0.0009542860789224505,0.9990456700325012,ExponentialSmoothing,0.0005338243110124438,0.9994661654162953,0.85,0.75
20979,right_hand,0.000984179088845849,0.9990158081054688,ExponentialSmoothing,0.0006013775276874545,0.9993986118196714,0.85,0.75
21029,right_hand,0.0011566608445718884,0.9988433122634888,ExponentialSmoothing,0.0006846700252201197,0.999315316886244,0.85,0.75
21054,right_hand,0.001728351810015738,0.9982715845108032,ExponentialSmoothing,0.0008412222929394625,0.9991587570299278,0.85,0.75
21104,right_hand,0.005656013265252113,0.9943439960479736,ExponentialSmoothing,0.0015634409387863604,0.9984365428826347,0.85,0.75
21129,right_hand,0.015379725955426693,0.984620213508606,ExponentialSmoothing,0.003635883691282411,0.9963640934765304,0.85,0.75
21179,right_hand,0.019092801958322525,0.9809072613716125,ExponentialSmoothing,0.005954421431338428,0.9940455686607927,0.85,0.75
21204,right_hand,0.018587160855531693,0.9814128875732422,ExponentialSmoothing,0.007849332344967418,0.9921506664976601,0.85,0.75
21229,right_hand,0.038781534880399704,0.9612184166908264,ExponentialSmoothing,0.012489162725282263,0.987510829026635,0.85,0.75
21279,right_hand,0.41010719537734985,0.5898928046226501,ExponentialSmoothing,0.07213186762309241,0.9278681253660372,0.85,0.75
21329,right_hand,0.9465810656547546,0.053418926894664764,ExponentialSmoothing,0.20329924732784177,0.7967007455953313,0.85,0.75
21354,rest,0.9861798882484436,0.013820063322782516,ExponentialSmoothing,0.320731343465932,0.679268643254449,0.85,0.75
21404,rest,0.9966082572937012,0.003391766920685768,ExponentialSmoothing,0.42211288054009743,0.5778871118043845,0.85,0.75
21429,rest,0.9970170259475708,0.002982946578413248,ExponentialSmoothing,0.5083485023512184,0.4916514870204888,0.85,0.75
21479,rest,0.9952408075332642,0.0047592283226549625,ExponentialSmoothing,0.5813823481285253,0.4186176482158137,0.85,0.75
21504,rest,0.9934123158454895,0.0065877060405910015,ExponentialSmoothing,0.6431868432860699,0.3568131568895303,0.85,0.75
21554,rest,0.9980908036231995,0.0019092144211754203,ExponentialSmoothing,0.6964224373366393,0.30357756551927706,0.85,0.75
21579,rest,0.9984976053237915,0.001502368482761085,ExponentialSmoothing,0.7417337125347121,0.2582662859637997,0.85,0.75
21604,left_hand,0.9984377026557922,0.0015622586943209171,ExponentialSmoothing,0.7802393110528741,0.21976068187337786,0.85,0.75
21654,left_hand,0.9980658888816833,0.0019341184524819255,ExponentialSmoothing,0.8129132977271956,0.18708669736024347,0.85,0.75
21704,left_hand,0.9978255033493042,0.0021745336707681417,ExponentialSmoothing,0.8406501285705119,0.15934987280682217,0.85,0.75
21729,left_hand,0.9980906844139099,0.0019092934671789408,ExponentialSmoothing,0.8642662119470217,0.1357337859058757,0.85,0.75
21779,left_hand,0.9969884753227234,0.003011564491316676,ExponentialSmoothing,0.884174551453377,0.11582545269369184,0.85,0.75
21804,left_hand,0.9980851411819458,0.0019148635910823941,ExponentialSmoothing,0.9012611399126623,0.09873886432830042,0.85,0.75
21854,left_hand,0.9976429343223572,0.0023570016492158175,ExponentialSmoothing,0.9157184090741165,0.08428158492643772,0.85,0.75
21879,left_hand,0.9970104694366455,0.0029894544277340174,ExponentialSmoothing,0.9279122181284958,0.07208776535163217,0.85,0.75
21929,left_hand,0.9978126287460327,0.0021873575169593096,ExponentialSmoothing,0.9383972797211264,0.06160270417643123,0.85,0.75
21954,left_hand,0.9982662796974182,0.0017337077297270298,ExponentialSmoothing,0.9473776297175702,0.0526223547094256,0.85,0.75
22004,left_hand,0.9986937642097473,0.0013062466168776155,ExponentialSmoothing,0.9550750498913968,0.044924938495543396,0.85,0.75
22029,left_hand,0.9989432692527771,0.0010567029239609838,ExponentialSmoothing,0.9616552827956039,0.03834470315980604,0.85,0.75
22054,left_hand,0.999157190322876,0.0008428125875070691,ExponentialSmoothing,0.9672805689246947,0.03271941957396119,0.85,0.75
22104,left_hand,0.9990744590759277,0.0009255542536266148,ExponentialSmoothing,0.9720496524473796,0.027950339775911003,0.85,0.75
22154,left_hand,0.998778760433197,0.0012212926521897316,ExponentialSmoothing,0.9760590186452522,0.02394098270735281,0.85,0.75
22179,left_hand,0.998264491558075,0.001735482132062316,ExponentialSmoothing,0.9793898395821756,0.020610157621059236,0.85,0.75
22229,left_hand,0.9970318078994751,0.0029681664891541004,ExponentialSmoothing,0.9820361348297706,0.017963858951273465,0.85,0.75
22254,left_hand,0.9948534369468689,0.005146525334566832,ExponentialSmoothing,0.9839587301473354,0.01604125890876747,0.85,0.75
22304,left_hand,0.9834165573120117,0.016583463177084923,ExponentialSmoothing,0.9838774042220368,0.016122589549015087,0.85,0.75
22329,left_hand,0.9643118977546692,0.03568807244300842,ExponentialSmoothing,0.9809425782519317,0.019057411983114086,0.85,0.75
22379,left_hand,0.8673824071884155,0.13261759281158447,ExponentialSmoothing,0.9639085525924043,0.036091439107384646,0.85,0.75
22404,left_hand,0.6260979175567627,0.3739020526409149,ExponentialSmoothing,0.913236957337058,0.0867630311374142,0.85,0.75
22454,left_hand,0.18190951645374298,0.8180904388427734,ExponentialSmoothing,0.8035378412045607,0.1964621422932181,0.85,0.75
22479,rest,0.04367891326546669,0.956321120262146,ExponentialSmoothing,0.6895590020136966,0.3104409889885573,0.85,0.75
22529,rest,0.008328135125339031,0.9916718602180481,ExponentialSmoothing,0.5873743719804428,0.41262561967298095,0.85,0.75
22554,rest,0.003825744381174445,0.9961742758750916,ExponentialSmoothing,0.49984207784055257,0.5001579181032976,0.85,0.75
22604,rest,0.0027520626317709684,0.9972478747367859,ExponentialSmoothing,0.4252785755592353,0.5747214115983208,0.85,0.75
22629,rest,0.000868129834998399,0.9991318583488464,ExponentialSmoothing,0.36161700870059976,0.6383829786108997,0.85,0.75
22679,rest,0.0006150959525257349,0.999384880065918,ExponentialSmoothing,0.30746672178838863,0.6925332638291524,0.85,0.75
22704,rest,0.0002858488296624273,0.9997140765190125,ExponentialSmoothing,0.2613895908445797,0.7386103857326314,0.85,0.75
22754,right_hand,0.00031689158640801907,0.999683141708374,ExponentialSmoothing,0.22222868595585393,0.7777712991289928,0.85,0.75
22779,right_hand,0.0003050835512112826,0.9996949434280396,ExponentialSmoothing,0.1889401455951575,0.8110598457738498,0.85,0.75
22829,right_hand,0.0002861389657482505,0.9997138381004333,ExponentialSmoothing,0.1606420446007461,0.8393579446228373,0.85,0.75
22854,right_hand,0.0001521104568382725,0.9998478889465332,ExponentialSmoothing,0.13656855447915991,0.8634314362713917,0.85,0.75
22879,right_hand,0.00013785822375211865,0.9998620748519897,ExponentialSmoothing,0.11610395004084874,0.8838960320584814,0.85,0.75
22929,right_hand,6.731385656166822e-05,0.9999326467514038,ExponentialSmoothing,0.09869845461320567,0.9013015242624198,0.85,0.75
22979,right_hand,2.8368052880978212e-05,0.9999716281890869,ExponentialSmoothing,0.08389794162915697,0.9161020398514199,0.85,0.75
23004,right_hand,2.1223913790890947e-05,0.99997878074646,ExponentialSmoothing,0.07131643397185206,0.9286835509856759,0.85,0.75
23054,right_hand,1.9874851204804145e-05,0.999980092048645,ExponentialSmoothing,0.060621950103754964,0.9393780321451213,0.85,0.75
23079,right_hand,1.8112090401700698e-05,0.9999818801879883,ExponentialSmoothing,0.05153137440175197,0.9484686093515513,0.85,0.75
23129,right_hand,2.4745409973547794e-05,0.9999752044677734,ExponentialSmoothing,0.043805380052985204,0.9561945986189846,0.85,0.75
23154,right_hand,2.8886306608910672e-05,0.9999711513519287,ExponentialSmoothing,0.03723890599102876,0.9627610815289263,0.85,0.75
23204,right_hand,3.766028385143727e-05,0.999962329864502,ExponentialSmoothing,0.03165871913495216,0.9683412687792625,0.85,0.75
23229,right_hand,4.2860821849899366e-05,0.9999570846557617,ExponentialSmoothing,0.02691634038798682,0.9730836411607374,0.85,0.75
23279,right_hand,6.718142685713246e-05,0.9999327659606934,ExponentialSmoothing,0.022888966543817366,0.9771110098807307,0.85,0.75
23304,right_hand,0.00010652217315509915,0.9998934268951416,ExponentialSmoothing,0.019471599888218026,0.9805283724328924,0.85,0.75
23354,right_hand,0.00013223756104707718,0.9998677968978882,ExponentialSmoothing,0.016570695539142383,0.9834292861026417,0.85,0.75
23379,right_hand,0.00014969588664826006,0.9998502731323242,ExponentialSmoothing,0.014107545591268264,0.985892434157094,0.85,0.75
23429,right_hand,0.0003927341604139656,0.999607264995575,ExponentialSmoothing,0.012050323876640118,0.9879496587828662,0.85,0.75
23454,right_hand,0.0005768885021097958,0.9994231462478638,ExponentialSmoothing,0.010329308570460568,0.9896706819026158,0.85,0.75
23504,right_hand,0.0014081480912864208,0.9985918402671814,ExponentialSmoothing,0.008991134498584446,0.9910088556573006,0.85,0.75
23529,right_hand,0.0025472049601376057,0.9974527955055237,ExponentialSmoothing,0.00802454506781742,0.9919754466345341,0.85,0.75
23579,right_hand,0.0032294068951159716,0.9967706203460693,ExponentialSmoothing,0.007305274341912202,0.9926947226912644,0.85,0.75
23604,right_hand,0.004145944956690073,0.9958541393280029,ExponentialSmoothing,0.006831374934128882,0.9931686351867751,0.85,0.75
23654,right_hand,0.005214886274188757,0.9947851300239563,ExponentialSmoothing,0.006588901635137864,0.9934111094123522,0.85,0.75
23679,right_hand,0.00393750099465251,0.9960624575614929,ExponentialSmoothing,0.00619119153906506,0.9938088116347233,0.85,0.75
23704,right_hand,0.002749096369370818,0.9972508549690247,ExponentialSmoothing,0.005674877263610924,0.9943251181348685,0.85,0.75
23754,right_hand,0.0037711241748183966,0.9962288737297058,ExponentialSmoothing,0.005389314300292045,0.994610681474094,0.85,0.75
23804,right_hand,0.0055973120033741,0.9944027066230774,ExponentialSmoothing,0.005420513955754353,0.9945794852464416,0.85,0.75
23829,right_hand,0.006632631178945303,0.9933673739433289,ExponentialSmoothing,0.005602331539232996,0.9943976685509748,0.85,0.75
23879,right_hand,0.009617538191378117,0.9903824925422668,ExponentialSmoothing,0.006204612537054764,0.9937953921496686,0.85,0.75
23904,right_hand,0.00610861973837018,0.9938913583755493,ExponentialSmoothing,0.006190213617252077,0.9938097870835507,0.85,0.75
23954,right_hand,0.0051652067340910435,0.9948347806930542,ExponentialSmoothing,0.006036462584777922,0.9939635361249763,0.85,0.75
23979,right_hand,0.0063466839492321014,0.9936532974243164,ExponentialSmoothing,0.006082995789446048,0.9939170003198774,0.85,0.75
24029,right_hand,0.013328132219612598,0.9866718649864197,ExponentialSmoothing,0.007169766253971031,0.9928302300198588,0.85,0.75
24054,right_hand,0.021745439618825912,0.9782545566558838,ExponentialSmoothing,0.009356117258699264,0.9906438790152625,0.85,0.75
24079,right_hand,0.027917340397834778,0.9720826745033264,ExponentialSmoothing,0.012140300729569592,0.9878596983384721,0.85,0.75
24129,right_hand,0.26856517791748047,0.7314348220825195,ExponentialSmoothing,0.05060403230775623,0.9493959669000792,0.85,0.75
24154,right_hand,0.25712719559669495,0.7428728342056274,ExponentialSmoothing,0.08158250680109705,0.9184174969959114,0.85,0.75
24179,right_hand,0.5659996867179871,0.43400028347969055,ExponentialSmoothing,0.15424508378863055,0.8457549149684782,0.85,0.75
24254,right_hand,0.6099710464477539,0.3900289535522461,ExponentialSmoothing,0.22260397818749905,0.7773960207560434,0.85,0.75
24279,rest,0.7805057168006897,0.21949425339698792,ExponentialSmoothing,0.3062892389794777,0.6937107556521851,0.85,0.75
24329,rest,0.6663879156112671,0.3336120545864105,ExponentialSmoothing,0.36030404047424613,0.6396959504923189,0.85,0.75
24354,rest,0.3946516513824463,0.6053484082221985,ExponentialSmoothing,0.36545618211047615,0.6345438191518008,0.85,0.75
24404,rest,0.6459751129150391,0.35402485728263855,ExponentialSmoothing,0.4075340217311606,0.5924659748714264,0.85,0.75
24429,rest,0.7423512935638428,0.2576487362384796,ExponentialSmoothing,0.4577566125060629,0.5422433890764844,0.85,0.75
24479,rest,0.9547518491744995,0.04524816572666168,ExponentialSmoothing,0.5323058980063284,0.467694105574011,0.85,0.75
24504,rest,0.9567484855651855,0.04325147345662117,ExponentialSmoothing,0.5959722861401571,0.4040277107564025,0.85,0.75
24529,rest,0.9550710916519165,0.04492891952395439,ExponentialSmoothing,0.6498371069669211,0.3501628920715353,0.85,0.75
24579,rest,0.9882149696350098,0.01178506575524807,ExponentialSmoothing,0.7005937863671344,0.2994062181240922,0.85,0.75
